zone_geo;part_age_inf18;part_age_inc;annee
Dordogne;3,5;0,3;2021
Doubs;2,1;0,1;2021
Drôme;2,6;0,6;2021
Eure;3,2;0,0;2021
Eure-et-Loir;3,5;0,5;2021
Finistère;3,0;0,1;2021
Gard;3,5;0,8;2021
Haute-Garonne;2,3;0,9;2021
Gers;2,9;0,0;2021
Gironde;2,4;3,9;2021
Hérault;3,0;0,4;2021
Ille-et-Vilaine;2,3;2,8;2021
Indre;2,7;2,4;2021
Indre-et-Loire;2,9;0,4;2021
Isère;3,0;0,2;2021
Jura;3,7;0,0;2021
Landes;2,3;0,4;2021
Loir-et-Cher;2,6;0,0;2021
Loire;2,6;0,2;2021
Haute-Loire;3,6;0,2;2021
Loire-Atlantique;2,5;0,3;2021
Loiret;4,1;0,2;2021
Lot;4,7;0,2;2021
Lot-et-Garonne;2,6;0,0;2021
Lozère;0,6;1,1;2021
Maine-et-Loire;3,3;0,2;2021
Manche;3,6;3,2;2021
Marne;2,6;0,6;2021
Haute-Marne;4,5;0,0;2021
Mayenne;3,3;0,0;2021
Meurthe-et-Moselle;2,8;0,1;2021
Meuse;3,4;0,0;2021
Morbihan;2,8;0,2;2021
Moselle;2,8;0,1;2021
Nièvre;1,5;0,2;2021
Nord;3,4;0,2;2021
Oise;3,1;0,1;2021
Orne;6,4;0,0;2021
Pas-de-Calais;4,1;0,4;2021
Puy-de-Dôme;4,0;0,4;2021
Pyrénées-Atlantiques;2,5;1,4;2021
Hautes-Pyrénées;4,6;1,5;2021
Pyrénées-Orientales;4,2;0,1;2021
Bas-Rhin;3,0;0,1;2021
Haut-Rhin;2,2;0,1;2021
Rhône;2,5;0,4;2021
Haute-Saône;2,4;0,2;2021
Saône-et-Loire;4,0;0,4;2021
Sarthe;4,8;0,1;2021
Savoie;2,7;0,4;2021
Haute-Savoie;1,9;0,3;2021
Paris;1,6;5,4;2021
Seine-Maritime;4,0;0,1;2021
Seine-et-Marne;2,4;0,2;2021
Yvelines;2,6;0,2;2021
Deux-Sèvres;3,3;0,5;2021
Somme;4,4;0,1;2021
Tarn;3,0;1,8;2021
Tarn-et-Garonne;3,9;1,0;2021
Var;2,9;0,4;2021
Vaucluse;3,1;0,1;2021
Vendée;3,3;0,4;2021
Vienne;3,7;0,7;2021
Haute-Vienne;3,2;0,3;2021
Vosges;2,9;0,1;2021
Yonne;3,9;0,1;2021
Territoire de Belfort;4,5;0,7;2021
Essonne;2,5;0,9;2021
Hauts-de-Seine;2,3;0,2;2021
Seine-Saint-Denis;2,3;6,0;2021
Val-de-Marne;2,6;0,2;2021
Val-d'Oise;2,6;0,1;2021
Total métropole;2,9;1,0;2021
Guadeloupe;2,6;0,9;2021
Martinique;3,4;0,2;2021
Guyane;5,7;0,1;2021
La Réunion;5,7;0,6;2021
Mayotte;9,2;0,1;2021
total DROM;5,0;0,5;2021
France entière;3,0;0,9;2021
Auvergne -  Rhône-Alpes;2,8;0,4;2021
Bourgogne -  Franche-Comté;3,0;0,2;2021
Bretagne;2,8;1,1;2021
Centre -  Val de Loire;3,4;0,4;2021
